Date,ActivePower,WindSpeed,TheoreticalPower,WindDirection,PowerError,Status,WindSpeed_theta,ActivePower_theta,TheoreticalPower_theta,PowerError_theta,WindSpeed_phi,ActivePower_phi,TheoreticalPower_phi,PowerError_phi,Fuzzy_Label
01 01 2018 00:00,380.047790527343,5.31133604049682,416.328907824861,259.994903564453,36.281117297518,0.0,0.2107170420081893,0.1056331436347136,0.1156469188402391,0.0100780881381994,0.6519136434080788,0.8089182759347282,0.7926818657636614,0.9800449326511466,0.5
01 01 2018 00:10,453.76919555664,5.67216682434082,519.917511061494,268.64111328125,66.148315504854,0.0,0.225032309364158,0.125991399787272,0.144421530850415,0.0183745320846816,0.6326100011501591,0.7762125007152365,0.7476078054157266,0.963913999209961,1.0
01 01 2018 00:20,306.376586914062,5.21603679656982,390.900015810951,272.564788818359,84.52342889688902,0.0,0.2069362277963218,0.0852887506645793,0.1085833377252641,0.0234787302491358,0.6570883812574667,0.8428275413112822,0.8041043302200995,0.9541197495263616,0.5
01 01 2018 00:30,419.645904541015,5.65967416763305,516.127568975674,271.258087158203,96.48166443465897,0.0,0.224536687236653,0.1165682112440217,0.1433687691599094,0.0268004623429608,0.6332707879200369,0.7912027047337349,0.7492169227864257,0.947798110098612,1.0
01 01 2018 00:40,380.650695800781,5.57794094085693,491.702971953588,265.674285888671,111.052276152807,0.0,0.2212940786634553,0.1057996366632649,0.1365841588759966,0.0308478544868908,0.6376072192118831,0.8086459189252153,0.7596585210002066,0.9401505191040136,1.0
01 01 2018 00:50,402.391998291015,5.60405206680297,499.436385024805,264.57861328125,97.04438673379002,0.0,0.2223299873653152,0.1118035239333263,0.1387323291735569,0.0269567740927194,0.6362193684791471,0.7988789898096579,0.7563389997467748,0.9475016382913782,1.0
01 01 2018 01:00,447.605712890625,5.79300785064697,557.372363290225,266.163604736328,109.76665039960004,0.0,0.2298264446668988,0.1242893465117447,0.1548256564695069,0.0304907362221111,0.6262457265193255,0.7789014956027668,0.7318631507671304,0.9408228814673416,1.0
01 01 2018 01:10,387.2421875,5.30604982376098,414.898178826186,257.949493408203,27.655991326185983,0.0,0.2105073215262809,0.1076198851567225,0.1152494941183849,0.0076822198128294,0.6521998375675075,0.8056736131249668,0.7933206968912534,0.9847526935341652,1.0
01 01 2018 01:20,463.651214599609,5.58462905883789,493.677652137077,253.480697631835,30.02643753746804,0.0,0.2215594168809592,0.1287203314306837,0.137132681149188,0.0083406770937411,0.6372515101284669,0.7719181132007656,0.7588097089767897,0.98345662873032,1.0
01 01 2018 01:30,439.725708007812,5.52322816848754,475.706782818068,258.72378540039,35.98107481025602,0.0,0.2191234546498659,0.1221132735269181,0.1321407730050189,0.0099947430028488,0.6405229448845301,0.7823512538210987,0.7665647662272949,0.980208326682705,1.0
01 01 2018 01:40,498.181701660156,5.72411584854125,535.841397042263,251.850997924804,37.659695382106975,0.0,0.2270932869847158,0.1382559676596982,0.1488448325117397,0.0104610264950297,0.6298679336063477,0.7570740297651006,0.7408791365038956,0.9792945472992348,1.0
01 01 2018 01:50,526.816223144531,5.93419885635375,603.014076510633,265.504699707031,76.19785336610198,0.0,0.2354279262628385,0.1461634257846916,0.1675039101418425,0.0211660703794727,0.6188722607639178,0.7449518585281596,0.7130563612048338,0.9585452924976104,1.0
01 01 2018 02:00,710.587280273437,6.54741382598876,824.662513585882,274.23291015625,114.075233312445,0.0,0.2597560507745281,0.1969120279439956,0.2290729204405228,0.0316875648090125,0.5876089650614119,0.670966581759158,0.627242750806976,0.9385713933367444,1.0
01 01 2018 02:10,655.194274902343,6.19974613189697,693.472641075637,266.733184814453,38.27836617329399,0.0,0.2459630036876453,0.1816151817708031,0.1926312891876769,0.0106328794925816,0.6051840978268619,0.6925984287056479,0.6769642203184496,0.9789579782958968,1.0
01 01 2018 02:20,754.762512207031,6.50538301467895,808.098138482693,266.76040649414,53.33562627566198,0.0,0.2580885591745089,0.2091110722642359,0.2244717051340813,0.0148154517432394,0.589713208513949,0.6541077539342269,0.6333574647860051,0.970801682773376,1.0
01 01 2018 02:30,790.173278808593,6.63411617279052,859.459020788565,270.493194580078,69.28574197997204,0.0,0.2631957996275353,0.2188897987649933,0.2387386168857125,0.0192460394388811,0.5832858220314839,0.6408374260137751,0.6145456133660863,0.9622347525638136,1.0
01 01 2018 02:40,742.985290527343,6.37891292572021,759.434536596592,266.593292236328,16.449246069249057,0.0,0.253071101637515,0.2058587780950557,0.2109540379434978,0.0045692350192358,0.5960786242587489,0.6585690101783573,0.6515903472244903,0.9909030958545164,1.0
01 01 2018 02:50,748.229614257812,6.4466528892517,785.28100987646,265.571807861328,37.05139561864792,0.0,0.2557585544050042,0.2073070045064948,0.2181336138545722,0.0102920543385133,0.5926628514568452,0.6565794719442802,0.6418560141948201,0.979625585900006,1.0
01 01 2018 03:00,736.647827148437,6.41508293151855,773.172863451736,261.15869140625,36.525036303298975,0.0,0.2545060770510707,0.204108679832903,0.2147702398477044,0.010145843417583,0.5942529387353301,0.6609796387129645,0.6464018745229877,0.9799121216333336,1.0
01 01 2018 03:10,787.246215820312,6.43753099441528,781.7712157188,257.56021118164,5.475000101512023,0.0,0.2553966607716915,0.2180814867412816,0.217158671033,0.0015208333615311,0.5931219689325932,0.6419262765010699,0.6431711391437602,0.9969629521206732,1.0
01 01 2018 03:20,722.864074707031,6.22002410888671,700.764699868076,255.926498413085,22.099374838954983,0.0,0.2467674934236758,0.2003022797400931,0.1946568610744655,0.006138715233043,0.60414833603651,0.6662469394235169,0.6741208837165299,0.987797477345614,1.0
